"('Lift No.', 'Unnamed: 0_level_1')","('Nature', 'Unnamed: 1_level_1')","(""Fireman's Lift"", 'Unnamed: 2_level_1')","('Disabled lift', 'Unnamed: 3_level_1')","('Rated Load (kg)', 'Unnamed: 4_level_1')","('No. of Person', 'Unnamed: 5_level_1')","('Rated Speed (m/s)', 'Unnamed: 6_level_1')","('Type of Control', 'Unnamed: 7_level_1')","('Floor Served', 'Unnamed: 8_level_1')","('Door Size', 'W (mm)')","('Door Size', 'H (mm)')","('Machine-room-less', 'Unnamed: 11_level_1')","('With Machine Room', 'Unnamed: 12_level_1')","('Unnamed: 13_level_0', 'Unnamed: 13_level_1')",Lift No.,Lift Model,Machine Model,Serial number,Drive System,Power Rating,No. of Ropes,Rope Diameter
Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,,,,,,,,,
L1,Passenger,☑,☑,1600,21,1.6,Duplex,"P,G,1-3",1100,2100,☑,-,,,,,,,,,
L2,Passenger,-,☑,1600,21,1.6,,"P,G,1-2",1100,2100,☑,-,,,,,,,,,
L3,Passenger,-,☑,1600,21,1.6,Duplex,"P,G,1-3",1100,2100,☑,-,,,,,,,,,
L4,Passenger,-,☑,1600,21,1.6,,"P,G,1-3",1100,2100,☑,-,,,,,,,,,
L5,Goods,☑,-,2100,28,1.6,Simplex,"P,G,1-4",1100,2300,-,☑,,,,,,,,,
Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,,,,,,,,,
L6,Passenger,-,☑,1600,21,1.6,Group,"P,G,1-5",1100,2100,☑,-,,,,,,,,,
L7,Passenger,-,☑,1600,21,1.6,Group,"P,G,1-5",1100,2100,☑,-,,,,,,,,,
L8,Passenger,-,☑,1600,21,1.6,Group,"G,1-5",1100,2100,☑,-,,,,,,,,,
L9,Passenger,-,☑,1600,21,1.6,Group,"G,1-5",1100,2100,☑,-,,,,,,,,,
L10,Goods,☑,-,2100,28,1.6,Group,Simplex,"P,G,1-5",1100,2100,-,☑,,,,,,,,
L11,Passenger,-,☑,1600,21,1.6,Group,,"G,1-6",1100,2100,☑,-,,,,,,,,
L12,Passenger,-,☑,1600,21,1.6,Group,Group,"P,G,1-6",1100,2100,☑,-,,,,,,,,
L13,Passenger,-,☑,1600,21,1.6,"G,1-6",Group,1100,2100,☑,-,,,,,,,,,
L14,Passenger,-,☑,1600,21,1.6,,Group,"P,G,1-6",1100,2100,☑,-,,,,,,,,
L15,Passenger,☑,-,1250,16,1.6,Simplex,Group,"P,G,1-6",1100,2100,☑,-,,,,,,,,
ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,,,,,,,,,
L17,Goods,☑,-,1600,21,1.6,Simplex,"P,G,1-3",1200,2300,☑,-,,,,,,,,,
L18,Passenger,-,☑,1600,21,1.6,Simplex,"P,G,1-3",1100,2300,☑,-,,,,,,,,,
L19,Passenger,-,☑,2100,28,1.6,Simplex,"P,G,1-2",1200,2300,-,☑,,,,,,,,,
L20,Passenger,☑,☑,1600,21,1.6,Duplex,"P,G,1-2",1100,2100,☑,-,,,,,,,,,
L21,Passenger,-,☑,1600,21,1.6,,"P,G,1-2",1100,2100,☑,-,,,,,,,,,
,,,,,,,,,,,,,,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building,Facilities Building
,,,,,,,,,,,,,,L1,5400MRL,PMS420,SA8210125-02,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L2,5400MRL,PMS420,SA8210123-07,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L3,5400MRL,PMS420,SA8210123-03,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L4,5400MRL,PMS420,SA8210126-02,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L5,-,FMP160,1012NB01,VVVF,27KW,6,13mm
,,,,,,,,,,,,,,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building,Office & Training Building
,,,,,,,,,,,,,,L6,5400MRL,PMS420,SA82101214-01,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L7,5400MRL,PMS420,SA82101213-02,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L8,5400MRL,PMS420,SA8211012-02,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L9,5400MRL,PMS420,SA8211013-02,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L10,-,FMP160,1012NB08,VVVF,27KW,6,13mm
,,,,,,,,,,,,,,L11,5400MRL,PMS420,SA8211011-03,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L12,5400MRL,PMS420,SA8211012-01,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L13,5400MRL,PMS420,SA8211011-01,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L14,5400MRL,PMS420,SA82101214-02,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L15,5400MRL,PMS420,SA82101213-04,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building,ATCC Building
,,,,,,,,,,,,,,L17,5400MRL,PMS420,SA8210103-02,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L18,5400MRL,PMS420,SA8210102-02,VVVF,18.9KW,8,11mm
,,,,,,,,,,,,,,L19,-,FMP160,1009NB02,VVVF,27KW,6,13mm
,,,,,,,,,,,,,,L20,5400MRL,PMS420,SA8210103-05,VVVF,18.9KW,8,11mm
